job_id,company_id,title,description,max_salary,med_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,views,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,scraped,embeddings
3701300194,16690.0,"Director Data Architect (20+ years relevant exp mandatory , No CTC or CTH)","Job Title: Director, Data ArchitectLocation: Flexible, prefers east coast hours Dynamic working schedule (Boston MA, Merrimack NH, Smithfield RI, Durham NC, Jersey city NJ)Relevant exp: Senior level, 20+ years minimum would be ideal.*This position is not applicable for c2c or cth.
Mandatory Technical expertise (Recent exp): Experience with numerous databases and cloud deployment is required.•Candidate will collaborate across several business units to assess the existing Data Strategy and suggest ways to boost competence as well as options for potential future strategies.• 20+ years of expertise defining and working with Data and Database Strategies• Collaborate with Enterprise Architects across business divisions to develop a single Org Architecture Strategy.• Experience with programming languages such as Java, Python, and Spark is preferred.• Snowflake, Yugabyte, and CockroackDB experience is preferred.
Software programming programmes and components are designed, modified, developed, and implemented. Software programmes and components are supported and/or installed. Performs work functions based on specified specifications and pre-established guidelines. Primarily experience in a developing technology where resources may be limited, such as Hadoop, Actimize, Big Data, Dev Ops, Brio/BenXL/Blaze/Exadata/Hadoop/Hibernate/Netezza/RECON/RTC/SDL Tridion/SPS/SunGard/Sybase. Primary Skill experience of 10 years or more. Experience with clients from different financial services industries is preferred.
In this role, you will be the leader of the organization's Data Strategy for Workplace Investing. You will collaborate with Enterprise Architects to develop a plan to support cloud-based modernization of legacy mainframe systems, as well as numerous other creative initiatives. You will collaborate closely with business partners and technology teams to understand business objectives and help establish the best architecture path.
The Expertise You HaveA BS or MS degree is required.20+ years of expertise defining and working with Data and Database StrategiesExperience designing large complicated systems with high volume and performance demands.Extensive expertise defining numerous components of data strategy, such as ETL, data modelling, databases, and data processing, among others.Collaborate with the architects across business groups to develop a unified Org Architecture Strategy.Work with the org Legal, Risk, Compliance, and Cybersecurity teams to ensure that our corporate, client, and customer data is treated safely and securely on the public cloud.
The Skills You BringAbility to create Data Strategy, Conceptual Architecture, and collaborate with development teams to put the strategies into action.Excellent communication and teamwork abilitiesStrong understanding of relational and non-relational database systems, as well as familiarity with event-driven architectureExpertise in the use of and expertise with cloud technologiesExperience with ETL/ELT design and development is preferred. Experience of programming languages such as Java, Python, and Spark is a plus.Experience with data management practises such as data integration, data security, data warehousing, data analytics, metadata management, and data quality is preferred. Experience of Snowflake, Yugabyte, and CockroackDB is a plus.An understanding of mainframe technology is advantageous.Strong analytical and problem-solving abilities, as well as good written and oral communication abilities.
If you're interested or know someone who would nearly fit above position, please share the updated resume: sandhya@compunnel.com",,,,,Contract,"Boston, MA",,1692730000000.0,,76.0,https://www.linkedin.com/jobs/view/3701300194/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1695320000000.0,1690000000000.0,Director,,1692730000000.0,,0,CONTRACT,,,1,"[-0.20165858 -0.1898982   0.02940806 ... -0.5887834  -0.42046928
 -0.08548628]"
3697357601,2382849.0,Maintenance Technician,"Overview
As a Maintenance Technician at Rogue Valley Manor, you’ll provide routine and spontaneous building maintenance services for our 200+ residents and other departments to make sure operations run smoothly. Our residents and employees live and work alongside one another on a daily basis - what better way to grow relationships, build connections and ultimately feel like you’re making an impact on someone’s life every day.
We’re in the business of taking care of others - so we want our employees to feel supported in all aspects of life. Here’s just some of the ways we want you to know you are appreciated;
Career-centered opportunity for advancementNow offering PayActiv (early wage access)FREE Employee ParkingMedical, Dental, Vision & Prescription Benefits we pay 90% of employee’s monthly premium we pay 50% of dependent(s) monthly premium4% 401(k) match (after one-year/1000 hours)Defined contribution retirement planFlexible Spending Plan (up to $2750 per plan year, Dependent Care $5000)Generous PTO (paid time off) planEmployee recognition programsEducation Tuition Assistance Program and Employee DevelopmentEmployee Referral Bonus ProgramEmployee access to onsite pool & gym
We’re a 365/24/7 business - so we’re looking for someone with availability to independently work on ongoing projects, perform general inspections, help turn over residences, monitor building systems and handle resident requests even if they arise after normal business hours. Just because we’re 365/24/7 doesn’t mean you have to be - this position won’t have any on-call duties! Work Schedule: Sunday - Wednesday; 10:00am - 8:30pm
We want you to feel rewarded in your work, whether its day 1 or day 100, so we make sure relationship building, training and development, and high quality service are part of our everyday mentality. Although some knowledge and experience in high-rise building maintenance is preferred, we provide the training you’ll need and will help you plan for your future with us as well.
Come join our team today!",,,,,Full-time,"Medford, OR",,1692730000000.0,,2.0,https://www.linkedin.com/jobs/view/3697357601/?trk=jobs_biz_prem_srch,https://jobs.retirement.org/jobs/11969?mode=job&iis=Job+Board&iisn=LinkedIn&lang=en-us%3Fmode%3Djob,OffsiteApply,1695330000000.0,,,,1692740000000.0,jobs.retirement.org,1,FULL_TIME,,,1,"[ 0.10283324  0.32933587 -0.967921   ... -0.11115395 -0.5106684
 -0.3056156 ]"
3757720377,490432.0,Patient Service Representative,"Job Title: Sr. Patient Resources RepresentativeDuration: 6+ Months Location:  Denver, CO (100% Remote) Description:· Currently looking for an experienced Sr. Patient Resources Representative for call center! Seeking and interviewing ambitious and team-oriented, analytically-minded individuals who enjoy problem-solving, critical thinking, researching and collaboration in a fast-paced and FUN work environment! Individuals who excel in this role are highly ambitious, results driven, and comfortable thinking ""outside the box"" and want to find the missing puzzle piece.· In this role you will develop and maintain relationships with various insurance companies as you resolve claim accounts on behalf of our patients.· As a Patient Resources representative you will act on behalf of our company and patients to collect payment from insurance companies on outstanding patient account balances, research and resolve problem accounts as needed, and maximize collections to achieve collection performance goals and contribute to our mission of giving life.Essential Duties and Responsibilities:· Work with insurance payers to research and take appropriate actions to resolve claim denials, rejections, and underpayments on behalf of our patients’ accounts; Research and resolution include but are not limited to phone and email exchanges with insurance payer or our clinics, submit appeals, in addition to the utilization of payer web portals and navigating between several internal applications· Intake and make outbound calls with insurance carriers regarding patient claims· Uses critical thinking, problem-solving and analytical skills to determine the root cause and/or trends of our non-paid claims or underpayments from insurance payers and follow appropriate policy and procedure to remediate· Uses exceptional organization, written, and verbal communication skills to produce detailed documentation of research and actions taken on claims· Develop and maintain positive working relationships with clinical personnel, fellow teammates, and insurance representatives",,,,,Contract,"Denver, CO",17.0,1699050000000.0,1.0,72.0,https://www.linkedin.com/jobs/view/3757720377/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1701640000000.0,,Associate,,1699050000000.0,,1,CONTRACT,,,1699084826,"[ 0.17482142 -0.12671983 -0.7530961  ... -0.37178162 -0.33324462
 -0.6405375 ]"
3756107353,18312164.0,Vice President of Sales,"VP of SalesUS, Canada (Remote) $150,000–$160,000OTE $300,000 - $320,000
*This post was created on behalf of one of Bravado’s clients.Our client Skill Intelligence Platform™ addresses talent quality at every stage of the recruiting funnel, ensuring candidate skill, fit, and interest are at the heart of all your hiring decisions. Engage, assess, interview, and up-skill top talent for any role, across every industry, for full-time, permanent, and contingent hiring programs.
‍Location: US, Canada (Remote)‍‍Key ResponsibilitiesAs the new VP of Sales, you will manage and grow a strong sales team of of 6 AEs and 11 BDRs split between India and the US.
Minimum Qualifications2 years scaling high-growth sales teamsExperience managing teams of ~20 peopleMust be willing to overlap hours with teammates in India
BenefitsMedical, dental, and vision insurance.401(k) retirement plan.Professional development allowance (to get certified, do online courses related to your domain, publish articles in international journals, and represent us in conferences).Flexible work hours and a 30-day paid leave policy.
‍----
What is Bravado?Bravado is a community of sales professionals built for sales professionals by sales professionals. Whether you are actively looking for a new sales role or seeking career advice on how to hit quota, Bravado is your ultimate resource for anything sales related.
Why can’t I see the name of this specific company?Bravado works with a plethora of companies specifically seeking to grow their sales teams, hence, there is a large range of active opportunities (just like this job posting!) available in our network. Once you join our community using the “apply now” button, you will be shown all available job opportunities that match your profile.
Why do I have to join Bravado to apply?Sales professionals often get the short end of the stick, but Bravado is here to change that. Our onboarding process focuses on highlighting your unique sales skills and our internal algorithm will match you with the most relevant active job opportunities. Essentially, by applying to this one position through us, you will be considered for all others in the same job title category as well.
I want to work for Bravado!That’s great! You can find our internal job postings using the link below:https://boards.greenhouse.io/bravado",160000.0,,150000.0,YEARLY,Full-time,"San Francisco, CA",,1699050000000.0,1.0,2.0,https://www.linkedin.com/jobs/view/3756107353/?trk=jobs_biz_prem_srch,http://landings.bravado.co/vacancies/vp-of-sales-remote-e7f35b86?utm_campaign=VPSsanfranciscoNov03&utm_source=linkedin&utm_medium=jobposting,OffsiteApply,1701640000000.0,,Mid-Senior level,,1699050000000.0,,0,FULL_TIME,USD,BASE_SALARY,1699060460,"[-0.25011727  0.22052401 -1.2164526  ... -0.24031556 -0.6772537
 -0.46699655]"
3749356295,28597765.0,Psychiatric Technician III - PRN,"External Description

Are you looking for an opportunity to advance your career while working with an extraordinary team? At Merakey, we put heart and soul into everything we do. We are seeking a Psychiatric Technician III to join our team at our program in Russellton, PA

Earn $20.20/hour.

Position Details 

The Psychiatric Technician III – PRN position works with and adheres to the safety and welfare of all residents in the Specialized LTSR program including mental, physical, spiritual, and emotional health. The individual participates in carrying out resident's treatment plan goals and assisting with the treatment planning process, as well as providing support with direct care responsibilities. Facilitate psychotherapy groups to enhance positive peer interaction, develop problem solving skills, and assist individuals in following their treatment goals.

Benefits

Merakey offers competitive compensation plans and more!

DailyPayWork/Life BalanceFlexible SchedulesCell Phone Discount PlansEmployee Referral Bonuses

About Merakey

Merakey is a non-profit provider of developmental, behavioral health, and education services. More than 8,000 employees provide support to nearly 40,000 individuals and families throughout 12 states across the country each year. Click here to watch a video about Merakey. Merakey strictly follows a zero-tolerance policy for abuse.

Merakey is proud to be an Equal Opportunity Employer! We deeply value diversity and do not discriminate on the basis of race, religion, color, national origin, ethnic background, sex, gender, gender identity, sexual orientation, age, marital status, veteran status, genetic information, or disability status. Moreover, we are committed to creating teams that reflect the diversity of the communities we serve and encourage applicants from underrepresented backgrounds to apply. Merakey welcomes all Veterans to apply!

Requirements

The ideal candidate will possess the following qualifications:

Bachelor's degree in psychology or related human service field 2 years of paid and unpaid work experience in behavioral health, forensic, sexual offending behaviors or residential services.Knowledge and understanding of severe mental illness, recovery principles and recovery driven service systemValid Driver’s License requiredAll Clearances required by OMHSAS",,20.2,,HOURLY,Full-time,"Russellton, PA",,1699050000000.0,,,https://www.linkedin.com/jobs/view/3749356295/?trk=jobs_biz_prem_srch,https://recruiting.adp.com/srccar/public/nghome.guid?prc=RMPOD3&ss=paid&r=5000999813306&c=1148411&d=External&utm_campaign=annual&utm_medium=social_media&utm_source=linkedin.com&utm_content=job_posting,OffsiteApply,1701640000000.0,,Mid-Senior level,,1699050000000.0,recruiting.adp.com,0,FULL_TIME,USD,BASE_SALARY,1699050657,"[ 0.2697214   0.05615599 -0.99282575 ... -0.37143773 -0.4236926
 -0.46559235]"
3699082485,6979.0,Lab Technician-Petroleum,"Job Description
Intertek is a leading Total Quality Assurance provider to industries worldwide. Our network of more than 1,000 laboratories and offices and over 43,000 people in more than 100 countries, delivers innovative and bespoke Assurance, Testing, Inspection and Certification solutions for our customers’ operations and supply chains. Intertek Total Quality Assurance expertise, delivered consistently with precision, pace and passion, enabling our customers to power ahead safely.
Caleb Brett
This team provides cargo inspection and analytical assessment to the world’s petroleum, mining, minerals and biofuels industries. With solutions based on years of expertise, innovation and advanced analytical capabilities, we help customers optimize return on cargoes and help them resolve difficult technical challenges
What's in it for you?
Perform work that is meaningful to your communityStrong medical, dental, vision, supplemental life benefits available401k match program (eligibility after 30 days of employment)Opportunity to grow a career with an Industry-recognized employerGenerous Vacation/Sick time benefits
Here’s What You’ll Do On The Job:
Performs numerous chemical and physical tests based on American Society for Testing and Materials (ASTM) methods or accepted industry standards in multiple test areas. Assist with equipment calibration, maintenance and basic troubleshooting. Cleans glassware and test equipment. Assists with preparing reagents as needed. Records data on appropriate data sheets and reports data to LIMS system. Responsible for maintaining quality records, control charts, and lab supply inventories. Responsible for complying with safety, quality and housekeeping requirements. Participates in cross training as needed. 
Qualifications:
High school diploma or GED preferred.. Prefer successful completion of at least one semester of college level chemistry and/or prior work experience in a laboratory environmentMust demonstrate ability to multi-task in high production testing areas. Must possess good math and observation skills. Must demonstrate proficiency using LIMS applications and established chemistry lab processes. Must demonstrate excellent team communication, coordination and cooperation. Must demonstrate ability to follow standard and non-standard procedures. Must demonstrate ability to utilize non-complex and complex instrumentation. Prefer proficiency with Microsoft Office software, including Microsoft Word and Excel. Must be able to work overtime as business needs dictate. Ability to regularly lift/carry up to 44 pounds. Ability to occasionally lift/carry up to 49 pounds. Ability to stand for prolonged periods of time. Exposure to various chemicals. 
Why work at Intertek?
Intertek is a world leader in the $250 billion Quality Assurance market, with a proven, high-quality business model and a global network of customer-focused operations and highly engaged subject matter experts. At Intertek, we exercise our spirit of innovation, the passion of our people and our unmatched customer commitment to realize our purpose of making the world an ever better, safer, and more sustainable place for all. Learn more about Our History and What We Do .
Intertek is committed to a safe work environment for our employees and clients. Learn more about our COVID-19 Policy .
What we have to offer:
When Working with Intertek , you can expect salary and benefit package competitively placed within the local market, including medical, dental, vision, life, disability, 401(k) with company match, tuition reimbursement and more.
Intertek is a drug-free workplace. As a condition of employment, all hires are required to pass a pre-employment drug test.
Intertek believes that Our People are our strongest tool for success. We are an Equal Opportunity Employer and do not discriminate against applicants due to veteran status or on the basis of disability. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, or gender identity.
For individuals with disabilities who would like to request an accommodation, or who need assistance applying, please email hr.eeoc.data@intertek.com or call 1-877-694-8543 (option #5) to speak with a member of the HR Department.
CA-CL
About Us
Intertek is a leading Total Quality Assurance provider to industries worldwide. Our network of more than 1,000 laboratories and offices in more than 100 countries, delivers innovative and bespoke Assurance, Testing, Inspection and Certification (ATIC) solutions for our customers' operations and supply chains. Working at Intertek means joining a global network of state-of-the-art facilities and passionate people who deliver superior customer service with a purpose of bringing quality, safety, and sustainability to life.
Organization
Intertek Caleb Brett is leading Total Quality Assurance provider to industries worldwide and experts in qualitative and quantitative analytical assessment services to the oil and gas, chemical, and other commodities markets. With international 24/7/365 service and coordination coverage, we treat each cargo as if it were our own.",,,,,Full-time,"Port Arthur, TX",1.0,1692750000000.0,,5.0,https://www.linkedin.com/jobs/view/3699082485/?trk=jobs_biz_prem_srch,https://hcog.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/job/6471/?utm_medium=jobshare,OffsiteApply,1695420000000.0,,Entry level,,1692830000000.0,hcog.fa.em2.oraclecloud.com,0,FULL_TIME,,,1,"[-0.26373395  0.02566654 -0.51255494 ... -0.10642759 -0.5260557
 -0.3968352 ]"
3757764752,23101.0,Furniture Assembler,"Rooms To Go

Furniture Assembler 

Starting Salary: Starting pay $16 per hour

Earn $50 additional weekly bonus for working certain shifts based on location

Plus medical, dental, vision and other benefits available for associates who want them

Individual Medical Benefits starting at $10 per week

Employee discounts on Rooms To Go furniture purchases

Join our TEAM

Look around. Does it seem like we're nearly everywhere? That's because we are! With 8,500 employees and 200+ locations, Rooms To Go is one of the largest and fastest growing furniture retailers in the US.

As a financially stable, 30 year old company focused on expansion, there's never been a better time to join the Rooms To Go Family. We continue to grow, which provides amazing opportunities for our team members to expand their careers.

What You'll Be Doing

Properly follow instructions to assemble furniture safely and accuratelyWork with hand tools in a safe manner to physically assemble product, ensuring quality standards Perform other duties as assigned by supervisor


What We're Looking For

 Be at least 18 years of age Able to submit to a Drug Test and Background Investigation Able to repeatedly lift 50 lbs. Capacity to learn and work in a team-oriented, fast paced environment Ability to bend, stand, walk for prolonged period of time Able to follow directions and work safely Able to work in a non-air-conditioned environment


What's in it for you?

Benefits And Perks

We offer a comprehensive benefits & perks package including 401k + company match, profit sharing, vision, dental, health and life insurance, disability coverage, vacation, sick time, holiday pay, award winning wellness & fitness programs, employee discounts on furniture, and more!

We continue to offer a better way to shop for furniture through innovation, fast delivery, first-rate service, honesty and integrity. We offer a comfortable, friendly work environment with the added peace of mind of working for a financially stable, growth-oriented company. We also give back to our local communities, have an industry leading recycling program and promote employee health and wellness company-wide.

Rooms To Go is an equal opportunity employer. We do not discriminate in hiring or employment against any individual on the basis of race, color, gender, national origin, ancestry, religion, physical or mental disability, age, veteran status, sexual orientation, gender identity or expression, marital status, pregnancy, citizenship, or any other factor protected by anti-discrimination laws

Applicants must be authorized to work in the U.S.",50.0,,10.0,HOURLY,Full-time,"Lakeland, FL",,1699070000000.0,,,https://www.linkedin.com/jobs/view/3757764752/?trk=jobs_biz_prem_srch,https://click.appcast.io/track/hw50h4i-org?cs=4c&jg=7cxw&bid=q948nGl57dNhZO5Va2AQmA==,OffsiteApply,1701660000000.0,,Entry level,,1699070000000.0,click.appcast.io,0,FULL_TIME,USD,BASE_SALARY,1699081419,"[-0.06067835 -0.03266755 -1.1896964  ... -0.7022895  -0.6965979
 -0.30104646]"
3756105817,3432.0,"Associate, Business Analyst","Location Designation: Hybrid

When you join New York Life, you’re joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You’ll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both virtual and in-person interactions support our culture.

 The Position 

The Strategic Initiatives team, part of the Chief Data Office, is responsible for the development of an authoritative, future-state Amazon Web Services (AWS) cloud data environment, the first of its kind at New York Life (NYL).

The team is in search of a strong data analyst and programmer to migrate, reconcile, and create authoritative source datasets in the future-state cloud. The candidate will work closely with both business functions and the technology team to drive enterprise-wide adoption of the cloud. Note: This is an individual-contributor role at the Associate level. Also, while this is a Business-facing role, there will be heavy interaction with Technology teams.

 Responsibilities: 

 Define authoritative data sources and systems of record.  Anomaly discover, root cause and gap analysis  Actively engage with application, technology & testing teams across the organization to understand the data requirements, data flows, data entities and data relationships  Define metadata and data lineage mappings.  Define the functional data model requirements.  Consult on defining enterprise sources and building physical data models.  Cross-analyze several large scale legacy and cloud-based datasets.  Support the definition of test scenarios and prepare test scripts to support business and technology teams in end-to-end QA testing efforts.  Participate in business user testing and validation  Triage defects 


 Requirements: 

 Strong SQL background (TOAD, SQL Workbench)  Strong programming/coding background (Python, R, SAS)  Strong understanding of relational and dimensional data models  Experience with cloud implementations (AWS, Azure, GCP)  Analytics experience on cloud data warehouses preferred (Redshift, Synapse, BigQuery, Snowflake)  Ability to write performance optimized queries on large datasets.  Ability to perform data analysis on large datasets including historical and establish meaningful insights.  Support adhoc data reporting requests.  Analytical and critical thinking skills required  Must be very organized and have excellent problem-solving skills  Must be team oriented and able to interact with a diverse group 


Salary range: $58,500-$85,000

Overtime eligible: Exempt

Discretionary bonus eligible: Yes

Sales bonus eligible: No

Click here to learn more about our benefits . Starting salary is dependent upon several factors including previous work experience, specific industry experience, and/or skills required.

Recognized as one of Fortune’s World’s Most Admired Companies, New York Life is committed to improving local communities through a culture of employee giving and volunteerism, supported by the Foundation . We're proud that due to our mutuality, we operate in the best interests of our policy owners. We invite you to bring your talents to New York Life, so we can continue to help families and businesses “Be Good At Life.” To learn more, please visit LinkedIn , our Newsroom and the Careers page of www.NewYorkLife.com .

Job Requisition ID: 89690",85000.0,,58500.0,YEARLY,Full-time,"New York, NY",46.0,1698970000000.0,,168.0,https://www.linkedin.com/jobs/view/3756105817/?trk=jobs_biz_prem_srch,https://jobs.newyorklife.com/job/New-York-Associate%2C-Business-Analyst-NY-10001/1094555900/?feedId=218400&utm_source=LinkedInJobPostings&utm_campaign=NewYorkLife_LinkedinSlots,OffsiteApply,1701640000000.0,,,,1699050000000.0,jobs.newyorklife.com,0,FULL_TIME,USD,BASE_SALARY,1699136825,"[-0.1559884  -0.5161075  -0.48479676 ... -0.6376925  -0.49470776
 -0.15880111]"
3755580578,71316538.0,"Event Technician, Audio Visual (Part Time) - Salt Lake City Region","Position Overview

A Technician is responsible for the set up and operation of basic / small-scale audiovisual systems in a hospitality environment while ensuring complete customer satisfaction. This position reports to an Operations Manager, Operations Director or Director, Event Technology.

Key Job Responsibilities

Equipment Operation

 Ensures a flawlessly executed event through accurate and timely setup, operation, and breakdown of basic audiovisual equipment as listed in the technical qualifications section.

Customer Service

 Strives to exceed the expectations and needs of internal and external customers. Maintains a positive relationship with all clients through effective communication. Meets with guests on site to ensure that their needs are met, and the equipment setup is working properly. Monitors events and checks in on customers throughout the day. Understands and fosters the hotel/client relationship.

Technical Ability

 Understands the technical aspects of the job and demonstrates basic operational ability to troubleshoot and problem solve with equipment and software issues. Handles equipment challenges and changes in a timely and professional manner.

Systems Knowledge

 Understands company processes, follows procedures, and completes systems entry and paperwork accurately. Uses the equipment sheets to determine the equipment scheduled for set up and for strike. Interacts with other staff and outside vendors for equipment. Increases revenue by utilizing floor up-selling techniques. Works with clients to finalize invoices. Completes order entries in Navigator, as needed.

Job Qualifications

 High School Diploma required. Associate’s degree is preferred. Achieve Technical Level 3 Certification per Encore Technical Skillset Matrix within 180 days (Technical Skill Set Matrix or @Encore/HR/Global Learning). 1 year of customer service or hospitality experience is preferred. 1 year of audio visual experience or equivalent in educational environment is preferred. A valid driver’s license is required for team members that may operate Company vehicles. Additional DOT requirement may need to be met if applicable.

Competencies

Deliver World Class Service

 Hospitality Ownership

Do The Right Thing

 Instills Trust Safety Conscious

Drive Results

 Action Oriented

See The Big Picture

 Tech Savvy

Value People

 Communicates Effectively

For more information on our Competency Group, refer to the Competency Based Talent Management page on Encore Connect by searching for the title or copy & pasting this URL Link (https://psav.sharepoint.com/sites/HR/SitePages/Competency-Supported-Talent-Management.aspx).

Work Environment

Hotel

Work is performed in a hotel/convention center environment with moderate exposure to outdoor temperatures and to dirt, sand and/or dust. The working conditions will vary between moderately quiet to noisy volumes. Team members will use high-end audio-visual equipment and electrical components and will be exposed to heights via lifts and ladders. Team members may be asked to work in multiple hotel locations. Working times will include irregular hours and on-call status including days, evenings, weekends, and holidays. Team members must adhere to appearance guidelines as defined by Encore based on an individual hotel or a representation of hotels in that city or area.

Warehouse

Work is performed at event venues as well as in a warehouse environment. Team members must adhere to appearance guidelines as defined by Encore based in a warehouse environment and when traveling, on an individual venue or a representation of venues in that city or area. When in the Warehouse, work will be completed in an environment with exposure to outdoor temperatures and to dirt, sand and/or dust. The working conditions will vary between moderately quiet to noisy volumes. Team members may use high-end audio-visual equipment and electrical components. Working times may include irregular hours and on-call status including days, evenings, weekends, and holidays.

The above information on this description is not necessarily an exhaustive list of all responsibilities, duties, skills, efforts, requirements or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed as assigned.",,,,,Part-time,"Salt Lake City, UT",,1696880000000.0,,,https://www.linkedin.com/jobs/view/3755580578/?trk=jobs_biz_prem_srch,https://jobs.encoreglobal.com/job/-/-/6228/56665040560,OffsiteApply,1701630000000.0,,Entry level,,1699040000000.0,jobs.encoreglobal.com,0,PART_TIME,,,1699054214,"[-0.3604501  -0.03219374 -0.4138425  ... -0.4550708  -0.38141027
 -0.4200518 ]"
3699099972,3135.0,Security Officer ($21.00/hr) ,"Organization- Hyatt Regency Orange County
Summary
At Hyatt, we believe our guests select Hyatt because of our caring and attentive associates who are focused on providing efficient service and meaningful experiences.
The Security Officer is responsible for the oversight of the safety and security of the hotel guests and employees. This person will follow safety and security standards and complete incident reports as required.
Hyatt associates work in an environment that demands exceptional performance yet reaps great rewards. Whether it's career opportunities, job enrichment or a supportive work environment, if you are ready for this challenge, then we are ready for you.
Qualifications
A true desire to satisfy the needs of others in a fast paced environment.Refined verbal and written communication skillsAbility to stand for long periods of time and walk moderate distancesMust be able to work a flexible schedule, including weekends and holidaysProficient in basic computer skills Previous security experience preferred",,,,,Full-time,"Orange County, CA",,1692840000000.0,,1.0,https://www.linkedin.com/jobs/view/3699099972/?trk=jobs_biz_prem_srch,https://careers.hyatt.com/en-US/careers/jobdetails/fast+pass+application+flow/ORA001896,OffsiteApply,1695440000000.0,,Entry level,,1692840000000.0,careers.hyatt.com,0,FULL_TIME,,,1,"[ 0.06709454  0.08574823 -0.11553766 ... -0.745054   -0.29590982
 -0.2728625 ]"
