job_id,company_id,title,description,max_salary,med_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,views,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,scraped,embeddings
3757493445,71939.0,Software Engineer,"A great opportunity to work with one of our leading Clients.
Software EngineerLocation:- Remote - USADuration :- 12 Months
Responsibilities of Software EngineerActively participate in modernization of legacy application in moving application from Mainframe to distributed systems Develop subject matter expertise in File One Data Load by providing analysis/design, code, testing and documentation Work with Cross-Functional teams to program, validate and co-ordinate software releasesProvide production application support in a 24x7 environment. Provide technical direction assistance to development and testing staff.Participate in or conduct code reviews and provide program improvement recommendations. 
Requirements for Software EngineerDrive architecture decisions in collaboration with software architects, security team, and hardware teamsProvide analysis and coding for complex software assignments.Possess proficient problem solving and diagnostic abilities providing support on production issues.Work with System Engineers and Internal Partners on requirements. Collaborate design review with cross functional groups; develop schedules, specifications, detail designs, and system procedures to enable on time delivery of defect free software systems. Provide resource recommendations for timely completion of projects.Train or mentor other team members by providing technical working knowledge on assignments Interface with both internal as well as external customers. Development of C and Embedded SQL in Linux Env, with MySQL /DB2/Oracle is a must.Application development experience in Python, Java, Scala. C++ is a plus.Strong experience with Microservices, AWS cloud services like Fargate, EC2, NLB’s, VPC, Route 53, S3, Lambda, Glue. Ability to provide solutions to a wide range of technical problems and challenges Demonstrate knowledge of software development methodologies. Experience with Scrum and other Agile processes required.Exceptional interpersonal skills, demonstrating the ability to collaborate and communicate effectively in a team environment Proven track record of exceptional technical, communication, and project leadership skills.",75.0,,73.0,HOURLY,Contract,United States,63.0,1699050000000.0,1.0,156.0,https://www.linkedin.com/jobs/view/3757493445/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1701640000000.0,,Mid-Senior level,,1699050000000.0,,0,CONTRACT,USD,BASE_SALARY,1699057868,"[-0.22098792 -0.15475607 -1.141057   ... -0.5999259  -0.5310577
 -0.22925562]"
3701300194,16690.0,"Director Data Architect (20+ years relevant exp mandatory , No CTC or CTH)","Job Title: Director, Data ArchitectLocation: Flexible, prefers east coast hours Dynamic working schedule (Boston MA, Merrimack NH, Smithfield RI, Durham NC, Jersey city NJ)Relevant exp: Senior level, 20+ years minimum would be ideal.*This position is not applicable for c2c or cth.
Mandatory Technical expertise (Recent exp): Experience with numerous databases and cloud deployment is required.•Candidate will collaborate across several business units to assess the existing Data Strategy and suggest ways to boost competence as well as options for potential future strategies.• 20+ years of expertise defining and working with Data and Database Strategies• Collaborate with Enterprise Architects across business divisions to develop a single Org Architecture Strategy.• Experience with programming languages such as Java, Python, and Spark is preferred.• Snowflake, Yugabyte, and CockroackDB experience is preferred.
Software programming programmes and components are designed, modified, developed, and implemented. Software programmes and components are supported and/or installed. Performs work functions based on specified specifications and pre-established guidelines. Primarily experience in a developing technology where resources may be limited, such as Hadoop, Actimize, Big Data, Dev Ops, Brio/BenXL/Blaze/Exadata/Hadoop/Hibernate/Netezza/RECON/RTC/SDL Tridion/SPS/SunGard/Sybase. Primary Skill experience of 10 years or more. Experience with clients from different financial services industries is preferred.
In this role, you will be the leader of the organization's Data Strategy for Workplace Investing. You will collaborate with Enterprise Architects to develop a plan to support cloud-based modernization of legacy mainframe systems, as well as numerous other creative initiatives. You will collaborate closely with business partners and technology teams to understand business objectives and help establish the best architecture path.
The Expertise You HaveA BS or MS degree is required.20+ years of expertise defining and working with Data and Database StrategiesExperience designing large complicated systems with high volume and performance demands.Extensive expertise defining numerous components of data strategy, such as ETL, data modelling, databases, and data processing, among others.Collaborate with the architects across business groups to develop a unified Org Architecture Strategy.Work with the org Legal, Risk, Compliance, and Cybersecurity teams to ensure that our corporate, client, and customer data is treated safely and securely on the public cloud.
The Skills You BringAbility to create Data Strategy, Conceptual Architecture, and collaborate with development teams to put the strategies into action.Excellent communication and teamwork abilitiesStrong understanding of relational and non-relational database systems, as well as familiarity with event-driven architectureExpertise in the use of and expertise with cloud technologiesExperience with ETL/ELT design and development is preferred. Experience of programming languages such as Java, Python, and Spark is a plus.Experience with data management practises such as data integration, data security, data warehousing, data analytics, metadata management, and data quality is preferred. Experience of Snowflake, Yugabyte, and CockroackDB is a plus.An understanding of mainframe technology is advantageous.Strong analytical and problem-solving abilities, as well as good written and oral communication abilities.
If you're interested or know someone who would nearly fit above position, please share the updated resume: sandhya@compunnel.com",,,,,Contract,"Boston, MA",,1692730000000.0,,76.0,https://www.linkedin.com/jobs/view/3701300194/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1695320000000.0,1690000000000.0,Director,,1692730000000.0,,0,CONTRACT,,,1,"[-0.20165858 -0.1898982   0.02940806 ... -0.5887834  -0.42046928
 -0.08548628]"
3694101880,10801655.0,Senior Data Engineer (Public Sector),"Publicis Sapient | Public Sector is looking for a Senior Associate, Data Engineer to be part of our team of top-notch technologists. You will lead and deliver technical solutions for large-scale digital transformation projects. Working with the latest data technologies in the industry, you will be instrumental in helping our clients evolve for a more digital future.Great Place to Work® Certified in the US: https://www.greatplacetowork.com/certified-company/1000228
Primary Skill: Data Warehouse and ETL
Qualifications:Must-Haves:***Application open to ONLY U.S. Citizens and Permanent Residents******Must be eligible to obtain U.S. Government Clearance (Public Trust)***6+yrs of demonstrable exp in data platforms involving the implementation of end-to-end data pipelinesHands-on exp with at least one of the leading public cloud data platforms (Amazon Web Services, Azure, or Google Cloud)Exp in implementing data pipelines for both streaming and batch integrations using tools; Google Cloud Dataflow, Azure Data Factory, ksqlDBExp working with code repositories and continuous integrationExp in data modeling, warehouse design, and fact/dimension implementationsStrong SQL knowledge to develop efficient and complex queriesExp working with Microsoft SQL ServerExp in data processing, transformation, and manipulation using Python (1+ yr exp)Exp developing, maintaining, and troubleshooting complex ETL processes using Microsoft SSISData ingest, validation, and enrichment pipeline design and implementationBachelor's degree in Computer Science, Engineering, or a related field
Nice to have:Exp in SnowflakesExp in Tableau/ Power BI, familiarity with ArcGIS would be an assetCertifications for any of the cloud services like AWS, Google Cloud, AzureLogical programming in Spark/ PySpark / Scala
Benefits of Working Here:Flexible vacation policyUnlimited PTO's15 company paid holidays annuallyWork Your World programGenerous parental leave and new parent transition programTuition reimbursementCorporate gift matching program",135000.0,,108000.0,YEARLY,Full-time,"Arlington, VA",1.0,1692840000000.0,1.0,14.0,https://www.linkedin.com/jobs/view/3694101880/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1695430000000.0,,Mid-Senior level,,1692840000000.0,,0,FULL_TIME,USD,BASE_SALARY,1,"[-0.33632556 -0.2524207  -0.20332187 ... -0.5944682  -0.6081298
  0.29624426]"
3701323814,11419009.0,Client Analytics Manager,"Hours: Full-time, 40hrs per week, Monday - Friday, Core Business Hours Location: Remote (Hours will be in PST Time Zone)


Summary:Our client is seeking a Manager of Client Analytics to join their growing Remote team.This role will be responsible for working directly with Sales, Client Account Management, Clinical Operations, and Finance to provide analytics support for client-facing deliverables, pre-sales analysis, and help drive strategic decision-making.
Top Skills Required:Extensive knowledge of healthcare Medicare/Medicaid Claims ReimbursementStrong SQL relational databases and coding (simple/complex queries)Experience in data mining, statistical analysis, and data transformation / manipulation Bachelor's Degree in Healthcare Analytics, Finance/Economics, Math/Statistics, or related field 
About the Role: This role does NOT manage peopleThis role will be managing the Analytics for the teamThey will be responsible for the design, documentation, development and rollout of financial, clinical and utilization-based analyses.
This includes:Query Design and Data Preparation - Data Analysis - Visualization Design - Database Design and Creation They NEED candidates who are strong in SQL (can create simple & complex queries on their own) and be able to speak to that experience during an interviewHave to have knowledge in Medicaid/Medicare Claims Reimbursement for the purpose of analyzing opportunities and solving complex issues for clients Need to have polished presentation skills and ability to speak to that experience in interviewsIdeal candidate is someone with healthcare background with Medicare/Medicaid claims reimbursement and SQL 
Required:Bachelor's degree or higher1+ years’ experience in any of the following:o Experience in data mining, statistical analysis, and data transformation / manipulationo Medicare/Medicaid Claims Reimbursemento Strong SQL relational databases and coding
Preferred:Why are you actively on the market for a new position?Do you currently write SQL code / queries on a daily basis? Please elaborate on what you do.Tell me about your experience working with Medicaid / Medicare Claims Reimbursement.
Important to Know:NOT able to provide any Sponsorship for candidatesCandidates have been rejected in the past for not having strong SQL experience with writing queries and database design and creationThere is no one else on the team who will write SQL queries for this roleCandidates have been rejected in the past for not having strong experience working with Medicaid / Medicare Claims Reimbursement.",125000.0,,110000.0,YEARLY,Full-time,United States,17.0,1692740000000.0,1.0,57.0,https://www.linkedin.com/jobs/view/3701323814/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1695330000000.0,,Mid-Senior level,,1692740000000.0,,0,FULL_TIME,USD,BASE_SALARY,1,"[ 0.03023367  0.14783004 -0.8847311  ... -0.64578027 -0.6704122
 -0.17039822]"
3757453047,18583501.0,Senior/Staff Backend Engineer @ Siftstack.io,"SOFTWARE ENGINEER 
At Sift (https://www.siftstack.com/), we aim to accelerate the advent of next-generation machines, improving our lives on and off the planet. We’re at an inflection point where connected machines will enter nearly everything we do. Sift is building data infrastructure underpinning the engineering, manufacturing, and operation of these machines. Our system is inspired by processes and software built at SpaceX for Dragon, Falcon, Starlink, and Starship. Send an email to Vivek to learn more: vivek.punjabi@siftstack.com.
We’re a fast-growing startup with engineers and operators from SpaceX, Google, Palantir, and Astra, and backed by the best investors in the sector. We’re looking for high-performing engineers to lay the foundation of Sift. As a founding engineer, you’ll shape the tech stack, product, and culture. You should be passionate about working closely with companies solving complex engineering challenges, including satellite constellations, renewable energy, and autonomous transportation.
Location: We require 2 days a week (Mondays + Thursdays) in the office in El Segundo, CA (Los Angeles).
WHAT YOU’LL DO-Design and build a high-performance, scalable, end-to-end data platform for hardware engineering-Design and build a delightful user interface for visualizing and transforming millions of data points-Work closely with customers, including hardware engineers, to understand their problems and find efficient solutions-Help define engineering culture, standards, and processes-Collaborate with peers on architecture, design, and code reviews
YOU SHOULD HAVE-Bachelor's degree in computer science, data science, engineering, math, physics, or STEM discipline-5+ years of experience in software engineering or data engineering-Experience designing and building large-scale, distributed systems or web applications using Go, Python, or an equivalent language-Self-starter, able to navigate ambiguity and changing priorities-Team player with excellent communication skills and a collaborative work ethic
BONUS POINTS-Experience working with in-stream data processing and analytics using Apache Kafka, Flink, Beam, or similar-Experience with relational and non-relational databases, e.g. PostgreSQL, Druid, Pinot, Timescale, or similar-Experience with data exploration tools like Grafana, Jupyter Notebooks, Metabase, PowerBI, or similar-Strong understanding of DevOps principles; version control, testing, continuous integration, build, deployment and monitoring-Front-end experience in React or a similar JavaScript framework (not required)
ENGINEERING AT SIFTYou’ll have the opportunity to heavily influence our stack because we’re still in the early stages of building the product.
Relevant technologies include:Web frontend & backend: Go, React, TypeScript, WebAssembly, D3.js, WebGL, and TailwindData: Parquet, Flink, Kafka, Beam, DuckDB, Timescale, QuestDB, InfluxDB, and DruidInfrastructure: GitHub Actions, AWS, Azure, GCP, Docker, Kubernetes, and Terraform
OUR TEAMWe’re comprised of senior engineers and operators from SpaceX, Google, Palantir, and Astra. We believe that the best software is written by those close to the source of the problem. One of our founders was a Dragon flight software lead responsible for two Dragon missions to the ISS. His team used SpaceX’s end-to-end data platform before, during, and after every Dragon mission. Our other co-founder was a lead on Starlink’s tools team, responsible for the platform that collected data from over 2000 Starlink satellites for exploration and data review.
LOCATIONThe Sift team is based in Los Angeles. We'll work closely with hardware companies building everything from autonomous vehicles to spacecraft, many based in LA. As a customer-centric company, it's essential to be nearby for site visits and collaboration.
BENEFITSUnlimited PTOFree lunch & snacksTop-tier health insurance: Medical, Vision, Dental",,,,,Full-time,"Los Angeles, CA",1.0,1699040000000.0,,21.0,https://www.linkedin.com/jobs/view/3757453047/?trk=jobs_biz_prem_srch,https://jobs.lever.co/novatalent/53633f92-a906-4639-b61e-0bcd9bb26a9c?source=6,OffsiteApply,1701630000000.0,,Mid-Senior level,,1699040000000.0,,0,FULL_TIME,,,1699042973,"[-0.6543105  -0.22370934 -0.53103113 ... -0.65887874 -0.27684957
 -0.31605393]"
3756108480,1441.0,"Software Engineering Manager II, Machine Learning, Google Cloud","Minimum qualifications:

Bachelor's degree or equivalent practical experience. 8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).3 years of experience in a technical leadership role; overseeing strategic projects, with 2 years of experience in a people management, supervision/team leadership role.3 years of experience with machine learning algorithms and tools (e.g., TensorFlow), or applied ML (e.g., deep learning, natural language processing).

Preferred qualifications:

Master’s degree or PhD in Engineering, Computer Science, or a related technical field. 3 years of experience working in a complex, matrixed organization.

About The Job

Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your extensive technical expertise you take initiative to independently design and implement new systems, designing, implementing, and testing multiple features with little or no direction from tech lead or manager. You collaborate with key stakeholders to determine future direction of work.

Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.

The US base salary range for this full-time position is $185,000-$283,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .

Responsibilities

Set and communicate team priorities that support the broader organization's goals. Align strategy, processes, and decision-making across teams. Set clear expectations with individuals based on their level and role and aligned to the broader organization's goals. Meet regularly with individuals to discuss performance and development and provide feedback and coaching. Develop the mid-term technical vision and roadmap within the scope of your (often multiple) team(s). Evolve the roadmap to meet anticipated future requirements and infrastructure needs. Design, guide and vet systems designs within the scope of the broader area, and write product or system development code to solve ambiguous problems. Review code developed by other engineers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .",283000.0,,185000.0,YEARLY,Full-time,"Sunnyvale, CA",5.0,1699050000000.0,,74.0,https://www.linkedin.com/jobs/view/3756108480/?trk=jobs_biz_prem_srch,https://careers.google.com/jobs/results/136997745673020102-software-engineering-manager-ii/?src=Online/LinkedIn/linkedin_us&utm_source=linkedin&utm_medium=jobposting&utm_campaign=contract,OffsiteApply,1701640000000.0,,,,1699050000000.0,careers.google.com,0,FULL_TIME,USD,BASE_SALARY,1699135697,"[-0.237243   -0.17901976 -0.32799527 ... -0.50745106 -0.5433632
  0.27610138]"
3749354519,1066442.0,Technical Escalations Engineer 2 (Logs) - US-West,"Technical Escalations Engineer 2

We are Datadog's in-house product experts. The Technical Solutions team enables Datadog's worldwide growth by educating potential clients and ensuring that existing customers are happy and successful. We share our technical and product expertise with customers via multi-channel technical support, demos, and presentations. You’ll be joining a team and company where you will be challenged, but also will immediately witness your contributions to Datadog.

At Datadog, we place value in our office culture - the relationships and collaboration it builds and the creativity it brings to the table. We operate as a hybrid workplace to ensure our Datadogs can create a work-life harmony that best fits them.

What You’ll Do:

Develop technical knowledge around our Logs Management platform and related logs technologies (scanners, audit trail, etc)Investigate customer escalations, lead technical calls with clients, and handle complex issues about customers' issues in your primary product area Respond to customer inquiries as neededPartner with our Technical Enablement team to maintain documentation and knowledge base articles for a variety of technologies within your area(s) of expertisePrepare the worldwide Technical Support Engineering team for new products and features, ensuring the technical proficiency of the teamRun office hours and lead training sessions for the Technical Support Engineering teamWork from a Datadog office 3 - 5 days per week 

Who You Are:

Experienced in multi-channel technical support at a SaaS company (2+ years of related experience)Self-motivated, detail-attentive, strong communication (written and verbal) and have a desire for continuous learningA critical thinker who defaults to a client-centric approachAble to pick up new skills quickly and come up with creative solutions to complex problemsConfident in your skills with Python or Go and a basic knowledge of LinuxActive contributor to open-source projects (code, bug reports, etc.) and the Engineering Community (Meetups, etc.)Experienced using Zendesk, Jira, Confluence, or similar softwareExperienced administering a Windows environment, or knowledgeable about the Windows operating systemExperienced with monitoring Java applications using mBeansSomeone who studied a Computer Science or Engineering major

Datadog values people from all walks of life. We understand not everyone will meet all the above qualifications on day one. That's okay. If you’re passionate about technology and want to grow your skills, we encourage you to apply.

Benefits and Growth: 

Best-in-breed onboardingGenerous global benefitsIntra-departmental mentor and buddy program for in-house networkingNew hire stock equity (RSUs) and employee stock purchase plan (ESPP)Continuous professional development, product training, and career pathingAn inclusive company culture, able to join our Community Guilds and Inclusion Talks

Benefits and Growth listed above may vary based on the country of your employment and the nature of your employment with Datadog.

The reasonably estimated salary for this role at Datadog ranges from $80,000 - $117,000, plus a competitive equity package, and may include variable compensation. Actual compensation is based on factors such as the candidate's skills, qualifications, and experience. In addition, Datadog offers a wide range of best in class, comprehensive and inclusive employee benefits for this role including healthcare, dental, parental planning, and mental health benefits, a 401(k) plan and match, paid time off, fitness reimbursements, and a discounted employee stock purchase plan.

About Datadog: 

Datadog (NASDAQ: DDOG) is a global SaaS business, delivering a rare combination of growth and profitability. We are on a mission to break down silos and solve complexity in the cloud age by enabling digital transformation, cloud migration, and infrastructure monitoring of our customers’ entire technology stacks. Built by engineers, for engineers, Datadog is used by organizations of all sizes across a wide range of industries. Together, we champion professional development, diversity of thought, innovation, and work excellence to empower continuous growth. Join the pack and become part of a collaborative, pragmatic, and thoughtful people-first community where we solve tough problems, take smart risks, and celebrate one another. Learn more about #DatadogLife on Instagram, LinkedIn, and Datadog Learning Center.

Equal Opportunity at Datadog:

Datadog is an Affirmative Action and Equal Opportunity Employer and is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and more. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. Here are our Candidate Legal Notices for your reference.

Your Privacy:

Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice.

",117000.0,,80000.0,YEARLY,Full-time,"Denver, CO",,1698970000000.0,,4.0,https://www.linkedin.com/jobs/view/3749354519/?trk=jobs_biz_prem_srch,https://careers.datadoghq.com/detail/5476586/?gh_jid=5476586&gh_src=8363eca61,OffsiteApply,1701640000000.0,,Mid-Senior level,,1699050000000.0,careers.datadoghq.com,0,FULL_TIME,USD,BASE_SALARY,1699051839,"[ 1.3110280e-01  3.4182385e-02 -5.1551527e-01 ... -5.7886791e-01
 -5.6663585e-01 -2.7132779e-04]"
3693587598,65647.0,Electronic Engineer,"Hello,My name is David, and I am a Recruiter with The Fountain Group. We are a national staffing firm and are currently seeking a Electronic Engineer for a prominent client of ours. This position is located in Miami, FL. Details for the position are as follows:
Job Description:Pay: $32Temp to Hire position – No C2C This position will have a focus of developing electronic systems that may include low level motion controllers, sensor interfaces and data acquisition, and system test bed utilities for electro-mechanical systems. The resulting systems shall support system breadboard and prototype efforts through product verification, validation and release. The incumbent designs circuit boards and sub-systems of limited to moderate scope using CAD/CAE tools; plans and conducts tests to verify theoretical analysis; performs empirical analysis, interpreting and evaluating experimental data to formulate conclusions; documents and communicates designs, specifications and project status; fabricates breadboards and prototypes; develops test plans, test specifications and design verification experiments; and participates on multi-functional development teams. Define and evaluate designs for operating system modules and components of electro-mechanical engineering systems Communicate and provide input for project status and project schedule updates Document efforts via established procedures using CAD systems Transfer technical documentation (drawings, specifications) into revision control system including creating and assembling Document Change Orders (DCOs) Establish electrical engineering specifications Identify critical design factors and risks that impact customer needs and regulatory requirements Perform both empirical and theoretical analysis, interpret experimental data to formulate conclusions Fabricate breadboards and prototypes Develop test plans and test specifications Design verification experiments 
Qualifications:Electrical/Electronic Bachelor´s Degree CAD/CAE toolsUnderstanding/Experience of instrumentation design including electrical and mechanical components, stepper and servo motor control, data acquisition, sensorsUnderstanding/Experience with electronic design including programmable logic, analog circuit design, microcontrollers, interfaces Product design experience with electro-mechanical devices preferred Understanding of modern design concepts and the Product Life Cycle Knowledgeable in developing designs in a regulated environment 
If you are interested in hearing more about the position please respond to this posting with your resume attached.
Please forward this email to any friends or colleagues as we do offer a Referral Bonus for any candidate who is hired and still gainfully employed after 30 days.",32.0,,30.0,YEARLY,Contract,"Miami, FL",2.0,1692830000000.0,,11.0,https://www.linkedin.com/jobs/view/3693587598/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1695420000000.0,,,,1692830000000.0,,0,CONTRACT,USD,BASE_SALARY,1,"[-0.53568023 -0.0210771  -0.4518122  ... -0.31000718 -0.54709005
 -0.37991047]"
3701306205,7934671.0,Azure Data Engineer,"LeadStack Inc. is an award-winning, one of the nation's fastest-growing, certified minority-owned (MBE) staffing services provider of contingent workforce. As a recognized industry leader in contingent workforce solutions and Certified as a Great Place to Work, we're proud to partner with some of the most admired Fortune 500 brands in the world.

Below are the details.

Title: Azure Data EngineerLocation: 100% Remote (Candidate must be based out of EST or CST region)Shift: EST HoursDuration: 6+ Months ContractPay Range: $60-70/hr. (DOE) W2 ONLY

Top 3 skills: SQL, Snowflake, and Data Warehousing/Design

Job Description:Client is seeking a talented and motivated Data Engineer to join our dynamic team.As a Data Engineer, you will play a critical role in developing and maintaining our data infrastructure, ensuring the smooth flow of data for our analytics and insights projects.The ideal candidate will have a strong background in SQL, data warehousing, ETL processes, and a preference for Snowflake experience.Additional experience with dbt or semantic layer tools will be a bonus, and proficiency in Python will also be advantageous.

Requirements:Bachelor's degree in Computer Science, Engineering, or a related field.Solid experience with SQL and data warehousing concepts.Strong understanding of ETL processes and tools.Preferred experience with Snowflake data warehouse platform.Bonus for experience with dbt or other semantic layer tools.Proficiency in Python is a plus.Excellent problem-solving and analytical skills.Strong attention to detail and ability to work in a fast-paced environment.Effective communication skills and ability to collaborate with cross-functional teams.

To know more about current opportunities at LeadStack Inc., please visit us on https://leadstackinc.com/careers/Should you have any questions, feel free to call me on 4088838922 or send an email on ankit.sapkale@leadstackinc.com",70.0,,60.0,HOURLY,Contract,United States,386.0,1692730000000.0,1.0,906.0,https://www.linkedin.com/jobs/view/3701306205/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1700510000000.0,,Mid-Senior level,,1692820000000.0,,0,CONTRACT,USD,BASE_SALARY,1,"[-0.5263944  -0.06895509 -0.56400716 ... -0.37697253 -0.36777663
  0.10329254]"
3757347868,3184.0,Full Stack Engineer – Python/AWS,"We have a great opportunity for a Full Stack Engineer to join an engineering team that supports the OGC (Office of General Counsel) Legal Business Team. Developers in this team will collaborate closely with the Legal business stakeholders to understand their use cases, clearly articulate business benefits, design solutions that can deliver those benefits, implement, and operationalize them.

In this role, you will:


Collaborate closely with legal professionals to understand their needs and challenges and translating those into technical requirements.Develop and maintain specialized software applications (Vendor and Custom Build) tailored for legal processes, such as case management, document review, contract management. Ensure that the solutions are aligned with industry best practices, security standards, and regulatory requirements. Collaborate with cross-functional teams to ensure seamless integration of technology solutions across the organization.Develop document management systems that allow for efficient organization, retrieval, and secure storage of legal documents.Integrate various legal software systems and automate legal processes to improve efficiency and accuracy.Ensure all solutions that the developer builds are built with all operational excellence capabilities such as availability management to ensure it has the right level of maturity before it is operationalized.Ensure that all IT systems and software follow data security and privacy regulations, including safeguarding sensitive legal documents and client information.Implement robust cybersecurity measures to protect sensitive legal data from breaches and cyberattacks.Generate reports and documentation to demonstrate compliance with legal regulations and standards.Provide training and support to legal staff on how to use and maximize the benefits of the IT systems and software.Stay up to date on the latest technological advancements and legal industry trends to recommend and implement innovative solutions. Evaluate how latest technologies (such as Generative AI and AI/ML) can be used to gain significant efficiency within Legal teams.Help leaders manage the IT budget for the legal business effectively by implementing cost-effective solutions.Work efficiently with Legal technology product vendors on various technical items.Conduct thorough testing and quality assurance to ensure that legal software applications are free from errors and bugs.Design systems and solutions that can scale as the legal business grows or experiences changes in demand.


What it Takes:


Bachelor’s degree in computer science, Information Technology, or a related field (or equivalent experience).5+ years of experience in a developer role and minimum 4 years in Python, PySpark and SQL development experience is required.Experience with AWS services: CloudFront, S3, ECS, IAM, Dynamo, Lambda, GlueExpert knowledge of developments of different types of APIsExperience creating and working with CI/CD pipelines using Bitbucket, GitHub etc.Expert knowledge of frontend development technologies (such as HTML5, React JS, Angular)Strong technical knowledge, and experience with relevant technologies, such as network infrastructure, server systems, databases, cloud platforms, collaboration tools, and development methodologies.Proven Experience in translating business outcomes into technical requirements, designing, and implementing solutions to deliver those outcomes.Proven track record in staying informed on emerging technology architecture, products and concepts and upskilling on them quickly.Strong problem-solving and analytical abilities to identify and address complex business challenges.Excellent communication and interpersonal skills, with the ability to effectively collaborate and influence stakeholders at all levels.Excellent analytical, conceptual thinking, critical thinking skills, and the ability to multi-task.Ability to effectively work through ambiguity and changes.Strong record in delivering exceptional outcomes independently while working as a team.Ability to work effectively with Product Owners, business, architects, and developers.


Nice to Haves:


Experience in designing and implementing AI/ML models to generate business outcomes.Experience in implementing solutions powered by Generative AI models.Experience with Legal Products such as iManage, Passport.


Special Factors

Sponsorship

Vanguard is not offering visa sponsorship for this position.

About Vanguard

We are Vanguard. Together, we’re changing the way the world invests.

For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.

We want to make success accessible to everyone. This is our opportunity. Let’s make it count.

Inclusion Statement

Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”

We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.

When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.

Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.

How We Work

Vanguard has implemented a hybrid working model for the majority of our crew members, designed to capture the benefits of enhanced flexibility while enabling in-person learning, collaboration, and connection. We believe our mission-driven and highly collaborative culture is a critical enabler to support long-term client outcomes and enrich the employee experience.",,,,,Full-time,"Charlotte, NC",15.0,1696870000000.0,,124.0,https://www.linkedin.com/jobs/view/3757347868/?trk=jobs_biz_prem_srch,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Charlotte-NC/Full-Stack-Engineer---Python-AWS_157476,OffsiteApply,1701620000000.0,,Associate,,1699030000000.0,vanguard.wd5.myworkdayjobs.com,1,FULL_TIME,,,1699049984,"[-0.12888052 -0.21961477 -0.29603782 ... -0.40789986 -0.6419899
  0.04177748]"
